country_region,total_confirmed,total_deaths
United_States_of_America,16256754,299177
India,9884100,143355
Brazil,6901952,181402
Russia,2653928,46941
France,2376852,57911
United_Kingdom,1849403,64170
Italy,1843712,64520
Spain,1730575,47624
Argentina,1498160,40766
Colombia,1425774,39053
Germany,1337078,21975
Mexico,1250044,113953
Poland,1135676,22864
Iran,1108269,52196
Turkey,995471,16199
Peru,984973,36677
Ukraine,900666,15247
South_Africa,860964,23276
Indonesia,617820,18819
Netherlands,612746,10034
